,column_name,percent_missing,Variable,Label
0,v5,70.67056750556867,v5,"Second ancestry, European Stan..."
1,v11,35.95199308487649,v11,Ever had children living in ho...
2,v22,52.44522756740583,v22,Control paid work last 7 days
3,v23,77.14352205857908,v23,"Partner, control paid work las..."
4,v62,44.56265168389906,v62,Partner's highest level of edu...
5,v68,44.56265168389906,v68,Partner's highest level of edu...
6,v69,89.70378004587918,v69,Number of employees respondent...
7,v71,63.708899896938064,v71,Partner's employment relation
8,v86,99.88363974866186,v86,Gender of tenth person in hous...
9,v87,99.93350842780677,v87,Gender of eleventh person in h...
10,v88,99.98337710695169,v88,Gender of twelfth person in ho...
11,v89,99.99667542139034,v89,Gender of thirteenth person in...
12,v91,56.444695634828285,v91,Gender of third person in hous...
13,v92,74.45393796336315,v92,Gender of fourth person in hou...
14,v93,90.61471458492636,v93,Gender of fifth person in hous...
15,v94,96.69204428338708,v94,Gender of sixth person in hous...
16,v95,98.85302037966687,v95,Gender of seventh person in ho...
17,v96,99.57445393796337,v96,Gender of eighth person in hou...
18,v97,99.8204727550783,v97,Gender of ninth person in hous...
19,v123,92.06090628012899,v123,"Place of interview: East, West..."
20,v151,64.36051730443167,v151,"Occupation partner, ISCO08"
21,v158,86.43904385119185,v158,Main activity last 7 days
22,v160,49.31347451710496,v160,Legal marital status
23,v164,94.0756009175837,v164,Partner's main activity last 7...
24,v170,42.05259483360484,v170,Mother's occupation when respo...
25,v173,54.496492569566804,v173,Ever had a paid job
26,v174,64.29402573223844,v174,Year last in paid job
27,v182,52.99378303799993,v182,How close to party
28,v188,58.47268858672163,v188,Ever belonging to particular r...
29,v190,42.13238472023671,v190,Religion or denomination belon...
30,v191,89.69713088865986,v191,Religion or denomination belon...
31,v192,99.88363974866186,v192,Tenth person in household: rel...
32,v193,99.93018384919712,v193,Eleventh person in household: ...
33,v194,99.98005252834203,v194,Twelfth person in household: r...
34,v195,99.99667542139034,v195,Thirteenth person in household...
35,v197,56.394826955683364,v197,Third person in household: rel...
36,v198,74.3807972339506,v198,Fourth person in household: re...
37,v199,90.60141627048772,v199,Fifth person in household: rel...
38,v200,96.67209681172912,v200,Sixth person in household: rel...
39,v201,98.8430466438379,v201,Seventh person in household: r...
40,v202,99.57445393796337,v202,Eighth person in household: re...
41,v203,99.81382359785897,v203,Ninth person in household: rel...
42,v204,99.88363974866186,v204,Tenth person in household: rel...
43,v205,99.93018384919712,v205,Eleventh person in household: ...
44,v206,99.98005252834203,v206,Twelfth person in household: r...
45,v207,99.99667542139034,v207,Thirteenth person in household...
46,v209,56.394826955683364,v209,Third person in household: rel...
47,v210,74.3807972339506,v210,Fourth person in household: re...
48,v211,90.60141627048772,v211,Fifth person in household: rel...
49,v212,96.67209681172912,v212,Sixth person in household: rel...
50,v213,98.8430466438379,v213,Seventh person in household: r...
51,v214,99.57445393796337,v214,Eighth person in household: re...
52,v215,99.81382359785897,v215,Ninth person in household: rel...
53,v216,41.29791548921174,v216,Relationship with husband/wife...
54,v241,71.76767844675688,v241,Any period of unemployment and...
55,v243,71.74440639648924,v243,Any period of unemployment and...
56,v259,99.89361348449084,v259,Year of birth of tenth person ...
57,v260,99.9401575850261,v260,Year of birth of eleventh pers...
58,v261,99.98337710695169,v261,Year of birth of twelfth perso...
59,v262,99.99667542139034,v262,Year of birth of thirteenth pe...
60,v264,56.979952790983745,v264,Year of birth of third person ...
61,v265,74.64676352272349,v265,Year of birth of fourth person...
62,v266,90.76432062236111,v266,Year of birth of fifth person ...
63,v267,96.77848332723828,v267,Year of birth of sixth person ...
64,v268,98.89623990159248,v268,Year of birth of seventh perso...
65,v269,99.59440140962133,v269,Year of birth of eighth person...
66,v270,99.83044649090728,v270,Year of birth of ninth person ...
