,Predicted_LGBM,Predicted_XGB,Predicted_RF,Predicted_LogReg,satisfied,id
0,0.19341215,0.237399742,0.05509259,0.5352383704697831,0,9948
1,0.02450825,0.24644354,0.02958333,0.4495953581631752,0,25601
2,0.96319756,0.779914856,0.98175926,0.5454109423980177,1,8592
3,0.53934878,0.516952455,0.53898148,0.4740546951681636,0,29593
4,0.87573572,0.73807466,0.82055556,0.5697803098649221,1,4252
5,0.34706502,0.461370945,0.11537037,0.6465980248090007,0,34651
6,0.36122977,0.319510728,0.85003086,0.6263184394121303,1,17873
7,0.17955714,0.294672251,0.19592593,0.5048548989082315,0,25733
8,0.22302695,0.37393692100000003,0.05685185,0.6856996290264281,0,6189
9,0.61335869,0.6973961,0.10824074,0.6355939928477392,0,29600
10,0.14850291,0.21854724,0.07755556,0.5223279367936378,0,25721
11,0.11724853,0.230392873,0.05976852,0.5675144345829101,0,34810
12,0.16336652,0.268046677,0.43212963,0.5619055134788861,0,8834
13,0.78641135,0.6673185229999999,0.95356481,0.5133314832749479,1,18435
14,0.96890381,0.7645167709999999,0.97833333,0.6630058205551489,1,8069
15,0.16089574,0.36696490600000004,0.32263889,0.6486132492721908,0,34770
16,0.12790522,0.234587118,0.05259259,0.5396838959164502,0,29326
17,0.81862586,0.606363833,0.15851852,0.708456817545417,0,25434
18,0.93069939,0.791904211,0.95328704,0.4490628604426198,1,27525
19,0.55025529,0.40212047100000003,0.52223148,0.5906982144949899,0,34922
20,0.28368311,0.393252879,0.33190741,0.6534252949516403,0,309
21,0.05427323,0.24644354,0.03212963,0.4695817054366329,0,6804
22,0.86499613,0.606363833,0.94583333,0.5484355298659441,1,25895
23,0.88473861,0.7649181490000001,0.95277778,0.6195467602544448,1,23936
24,0.68082219,0.721289515,0.88940741,0.5418306226965318,1,28880
25,0.97504419,0.779914856,0.97851852,0.5552005627139582,1,25338
26,0.26065233,0.37393692100000003,0.24546296,0.6191799513568546,0,23331
27,0.91837224,0.7493952509999999,0.96509259,0.5346885596980446,1,24872
28,0.96607842,0.777491391,0.90481481,0.5586504361991921,1,29037
29,0.93062455,0.731059015,0.95203704,0.7206038678125185,1,17527
30,0.42441433,0.461370945,0.42175926,0.7089881768618639,0,19441
31,0.96386859,0.791904211,0.97611111,0.604063987406116,1,34353
32,0.0948587,0.230392873,0.19768519,0.675975964031214,0,38364
33,0.58475178,0.37393692100000003,0.91851852,0.6706216936998435,1,12428
34,0.24388465,0.316139847,0.04630571,0.31997586127415145,0,4540
35,0.88995461,0.714135766,0.93861111,0.6154353443056462,1,19364
36,0.94426879,0.7776451109999999,0.78092593,0.6117230026269516,1,20106
37,0.10107042,0.294449836,0.06314815,0.4854824495215262,0,3148
38,0.08834562,0.343780994,0.03648148,0.472872666727943,0,2861
39,0.964778,0.7649181490000001,0.95962963,0.6783362945739293,1,4637
40,0.72761948,0.559799969,0.95847222,0.5443342220736591,1,2089
41,0.70028639,0.565788805,0.63037037,0.6152708704677273,0,26598
42,0.98139336,0.7650780079999999,0.83912037,0.5807624327654527,1,677
43,0.75541445,0.561069012,0.93259259,0.6535153753642228,1,1439
44,0.10918322,0.294672251,0.03592593,0.3981732066322561,0,38923
45,0.96372067,0.744964182,0.77712963,0.6142400222641797,1,6623
46,0.89537176,0.723777056,0.9337037,0.6408542196962916,1,19223
47,0.10340789,0.238478899,0.05708333,0.6327036296402888,0,4593
48,0.86273871,0.6563870310000001,0.95074074,0.7187353904916676,1,37338
49,0.31745424,0.255503297,0.86213889,0.4508612693394898,1,33996
50,0.88585776,0.657938421,0.96342593,0.6141612508506245,1,4263
51,0.29042318,0.37393692100000003,0.05509259,0.5538058757952969,0,9739
52,0.55616508,0.526644886,0.61055556,0.5393421848256083,1,27898
53,0.83091128,0.691396892,0.60666667,0.2535425279839017,1,31700
54,0.51910875,0.559799969,0.10561508,0.6304745109421677,0,26029
55,0.33264702,0.294672251,0.05462963,0.6289070504838737,0,3212
56,0.96494238,0.791904211,0.97462963,0.6755450065341667,1,30614
57,0.33935614,0.365658462,0.39231481,0.7627861057798645,1,8249
58,0.2173451,0.262387127,0.06861111,0.6779223719043133,0,26213
59,0.18076995,0.294672251,0.02844444,0.6122952255012882,0,13434
60,0.91173864,0.737796426,0.77166667,0.5307092382379036,1,24987
61,0.60817026,0.606363833,0.1227963,0.5649759967877028,0,37073
62,0.84668568,0.6673185229999999,0.83041667,0.5880067633297549,1,18350
63,0.03297118,0.21854724,0.03759259,0.5554967182636108,0,21036
64,0.83213646,0.6673185229999999,0.96435185,0.5675764415400859,1,14421
65,0.20917319,0.23268345,0.07125,0.5397578440115058,0,19227
66,0.16756583,0.319510728,0.04342593,0.5784514408146256,0,26121
67,0.83479809,0.6563870310000001,0.9437037,0.6816615481320779,1,17935
68,0.78269841,0.585393906,0.93546296,0.6747911327668784,1,38013
69,0.44231891,0.400548786,0.08264815,0.5246850303215149,0,26129
70,0.57298664,0.393252879,0.89587963,0.725134733624826,1,29511
71,0.94521595,0.7403370140000001,0.95953704,0.6932207686824163,1,40
72,0.31125956,0.330667645,0.08152778,0.6825882919270065,0,35471
73,0.26171381,0.365658462,0.06342593,0.6666388909196118,0,26780
74,0.71536365,0.657938421,0.94138889,0.646422167115761,1,6867
75,0.12288557,0.23268345,0.24782407,0.4127907320693123,1,24586
76,0.1051065,0.230392873,0.29166667,0.6527464603969455,0,128
77,0.16449689,0.328292996,0.07805556,0.4563497328383879,0,22041
78,0.03996498,0.21854724,0.03407407,0.5806153533997974,0,4051
79,0.27831102,0.230392873,0.79828704,0.36209466426550463,1,32730
80,0.20442944,0.262387127,0.04907407,0.408316700301026,0,5683
81,0.05977043,0.21854724,0.03560185,0.4317341068653128,0,27456
82,0.97089029,0.762540817,0.83037037,0.7352954133840989,1,9472
83,0.89880227,0.657938421,0.97305556,0.617884485061618,1,24645
84,0.96047631,0.788668275,0.80787037,0.6346776533953074,1,29446
85,0.1269513,0.21854724,0.04592593,0.6249782220988072,0,37513
86,0.328496,0.338973463,0.07305556,0.4240443500293667,0,583
87,0.9679637,0.791904211,0.9837037,0.6406701916859484,1,4959
88,0.19817497,0.315781802,0.04652778,0.43121925946889933,0,5188
89,0.89966484,0.731059015,0.74527778,0.9561821898381634,1,1427
90,0.1649563,0.33075633600000004,0.40287037,0.6478070653383239,1,5674
91,0.19096081,0.319934547,0.28555556,0.6719055714852488,0,35515
92,0.97996195,0.791904211,0.9812037,0.6630765162716333,1,8323
93,0.84489942,0.6973961,0.95740741,0.5488609097690175,1,24484
94,0.03608101,0.238478899,0.03425926,0.6423051341708467,0,3423
95,0.29686879,0.345858276,0.08814815,0.6159967618141897,0,25596
96,0.40999743,0.319934547,0.08296296,0.6456316753773911,0,19004
97,0.76055423,0.559799969,0.15810185,0.7116996901573998,0,24453
98,0.06390679,0.21854724,0.03023895,0.7182448046691928,0,1343
99,0.94519522,0.7650780079999999,0.95861111,0.6058147439033141,1,7175
100,0.0494509,0.21854724,0.02638889,0.4944624452279458,0,3884
101,0.08844681,0.294672251,0.0462963,0.5269481101672112,0,18036
102,0.95224616,0.7493952509999999,0.82351852,0.7331344751496823,1,13667
103,0.06765474,0.21854724,0.0574537,0.5562588765959331,0,38590
104,0.74872911,0.631034791,0.67488889,0.7033717277306615,1,24395
105,0.23418691,0.258482039,0.35282407,0.5343823643147939,0,5415
106,0.97161363,0.791904211,0.98132716,0.7304599729925221,1,4531
107,0.18711539,0.254346967,0.88833333,0.5084849332675013,1,13702
108,0.06244395,0.268046677,0.045,0.6645116043477504,0,37017
109,0.98047339,0.791904211,0.98259259,0.6780379878567273,1,11202
110,0.5875079,0.40212047100000003,0.90773148,0.3780504735435983,1,15850
111,0.93507019,0.7233307959999999,0.80231481,0.6653382833342852,1,2712
112,0.11904411,0.247027293,0.05074074,0.4895871086347228,0,1887
113,0.18179322,0.294672251,0.0325,0.5612719498139364,0,31082
114,0.26456549,0.238478899,0.83541667,0.6210707086703643,1,23069
115,0.38963435,0.37532559,0.55546296,0.5679105772700067,0,20839
116,0.2513722,0.37393692100000003,0.06611111,0.5626648355056078,0,13145
117,0.6015988,0.48487258,0.92537037,0.6707428408671056,1,28789
118,0.90959945,0.73807466,0.97203704,0.7013463505892336,1,13040
119,0.78798191,0.714135766,0.13166667,0.6470773914339648,0,7253
120,0.04805178,0.238478899,0.03824074,0.5556427143955274,0,29117
121,0.90104306,0.7776451109999999,0.94287037,0.6186523101529373,1,15264
122,0.9653698,0.7649181490000001,0.97388889,0.5456057349636779,1,1833
123,0.29583766,0.294672251,0.07398148,0.4512550092872742,0,26456
124,0.89609399,0.6864215140000001,0.94333333,0.6496002961963846,1,1690
125,0.98492481,0.791904211,0.92787037,0.7042646588757998,1,30075
126,0.05035515,0.296670824,0.03601852,0.3249086229180719,0,3521
127,0.94703124,0.7493952509999999,0.9662963,0.6949272919335429,1,3949
128,0.23325827,0.343780994,0.07560185,0.5561786466559329,0,35325
129,0.97394007,0.779914856,0.97291667,0.6321149694980546,1,35379
130,0.64084759,0.574047208,0.11560185,0.5761177986019921,0,26726
131,0.42752101,0.343780994,0.82263889,0.3905373610460831,1,11295
132,0.18065567,0.425617605,0.32925926,0.6598553864671556,1,24154
133,0.8142101,0.585393906,0.95266809,0.7425825466852136,1,26489
134,0.1023058,0.249940351,0.03657407,0.6246531093684535,0,38020
135,0.97132986,0.791904211,0.87009259,0.7436570015133702,1,17036
136,0.91138664,0.714135766,0.61555556,0.704153923666678,1,29069
137,0.38291883,0.400548786,0.53921296,0.5896386504759352,1,28734
138,0.07120078,0.24505502,0.02972222,0.4358674273757087,0,31579
139,0.96206984,0.791904211,0.96805556,0.5875812493732928,1,3568
